Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"navigateToUrl(""https://mail7.io/"")",Chrome 101.0.4951.67,,,2022-05-23 18:55:44,2022-05-23 18:55:47,2.977s,PASSED
"setText(findTestObject(""Object Repository/Page_Mail 7 - Email workflow testing tool w_96df2e/input_QA Developers_username""), email)",Chrome 101.0.4951.67,,,2022-05-23 18:55:47,2022-05-23 18:55:47,0.703s,PASSED
"click(findTestObject(""Object Repository/Page_Mail 7 - Email workflow testing tool w_96df2e/input_mail7.io_button is-primary w-50""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:47,2022-05-23 18:55:53,6.087s,PASSED
"click(findTestObject(""Object Repository/Page_Mail 7 - Dashboard/p_Mina  ALAMI  no-replyalamisharia.co.id""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:53,2022-05-23 18:55:55,2.041s,PASSED
"click(findTestObject(""Object Repository/Page_Mail 7 - Dashboard/td_Assalamualaikum                                                    alami""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:55,2022-05-23 18:55:57,1.404s,PASSED
"switchToWindowTitle(""Mail 7 - Dashboard"")",Chrome 101.0.4951.67,,,2022-05-23 18:55:57,2022-05-23 18:55:57,0.041s,PASSED
"click(findTestObject(""Object Repository/Page_Mail 7 - Dashboard/a_Klik Untuk Aktivasi Email  Log-in (1)""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:57,2022-05-23 18:55:57,0.625s,PASSED
switchToWindowIndex(1),Chrome 101.0.4951.67,,,2022-05-23 18:55:57,2022-05-23 18:55:57,0.033s,PASSED
"click(findTestObject(""Object Repository/Page_Daftar Sebagai Pemberi Dana  ALAMI Pee_40e437/a_Masuk ke Akun Saya""))",Chrome 101.0.4951.67,,,2022-05-23 18:55:57,2022-05-23 18:56:01,3.134s,PASSED
,,,,,,,
Test Cases/login,Chrome 101.0.4951.67,,,2022-05-23 18:56:01,2022-05-23 18:56:07,6.130s,PASSED
"openBrowser("""")",Chrome 101.0.4951.67,,,2022-05-23 18:56:01,2022-05-23 18:56:03,2.061s,PASSED
"navigateToUrl(""https://dev.p2p.alamisharia.co.id/"")",Chrome 101.0.4951.67,,,2022-05-23 18:56:03,2022-05-23 18:56:05,1.947s,PASSED
"setText(findTestObject(""Object Repository/Page_Login  ALAMI Peer-to-Peer Lending Syariah/input_Assalamualaikum_username""), email)",Chrome 101.0.4951.67,,,2022-05-23 18:56:05,2022-05-23 18:56:06,0.708s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login  ALAMI Peer-to-Peer Lending Syariah/input_Assalamualaikum_password""), ""qoEw0cfPgy3c6UpBNaFY9w=="")",Chrome 101.0.4951.67,,,2022-05-23 18:56:06,2022-05-23 18:56:06,0.442s,PASSED
"click(findTestObject(""Object Repository/Page_Login  ALAMI Peer-to-Peer Lending Syariah/a_Masuk Ke Akun Saya""))",Chrome 101.0.4951.67,,,2022-05-23 18:56:06,2022-05-23 18:56:07,0.446s,PASSED
